course_name,knowledge_point,question_title,is_correct,difficulty,platform,practice_date,time_spent_minutes,wrong_reason
数据结构,搜索算法,示例题1,1,中,牛客,2026-05-04,19,概念不熟
数据结构,二叉树,示例题2,0,中,课堂练习,2026-04-29,15,边界条件遗漏
高等数学,机器学习基础,示例题3,0,难,LeetCode,2026-05-08,10,审题不清
人工智能引论,机器学习基础,示例题4,1,中,LeetCode,2026-05-05,19,审题不清
人工智能引论,二叉树,示例题5,0,中,LeetCode,2026-05-05,22,审题不清
数据结构,图搜索,示例题6,1,易,牛客,2026-05-11,9,
人工智能引论,二叉树,示例题7,0,易,LeetCode,2026-05-11,14,概念不熟
高等数学,图搜索,示例题8,1,难,牛客,2026-05-09,7,
高等数学,图搜索,示例题9,0,难,课堂练习,2026-05-01,10,边界条件遗漏
数据结构,搜索算法,示例题10,1,易,LeetCode,2026-05-12,18,概念不熟
高等数学,二叉树,示例题11,0,难,课堂练习,2026-05-09,18,概念不熟
数据结构,二叉树,示例题12,0,难,课堂练习,2026-04-30,13,边界条件遗漏
高等数学,机器学习基础,示例题13,1,易,LeetCode,2026-05-01,17,边界条件遗漏
高等数学,积分,示例题14,1,中,课堂练习,2026-04-29,18,概念不熟
数据结构,搜索算法,示例题15,1,难,牛客,2026-05-07,19,边界条件遗漏
人工智能引论,图搜索,示例题16,1,难,牛客,2026-05-03,6,
人工智能引论,积分,示例题17,0,难,课堂练习,2026-04-29,8,边界条件遗漏
人工智能引论,图搜索,示例题18,1,难,牛客,2026-05-06,21,边界条件遗漏
人工智能引论,二叉树,示例题19,0,中,课堂练习,2026-05-12,11,
人工智能引论,机器学习基础,示例题20,1,中,牛客,2026-05-08,16,边界条件遗漏
